arm,configuration,case,ssim,psnr,mse
random,median_n5,BraTS-GLI-01302-000,0.9292314052581787,20.962081909179688,0.008012938313186169
random,median_n5,BraTS-GLI-00186-000,0.7995697259902954,14.900142669677734,0.01963874138891697
random,median_n5,BraTS-GLI-01266-000,0.7071213126182556,19.94415855407715,0.010129407048225403
random,median_n5,BraTS-GLI-00085-000,0.7621776461601257,19.247520446777344,0.011616688221693039
random,median_n5,BraTS-GLI-00386-000,0.7757415175437927,20.25481605529785,0.006664906162768602
random,median_n5,BraTS-GLI-01122-000,0.7026216387748718,15.469380378723145,0.02838323451578617
random,median_n5,BraTS-GLI-00204-000,0.5691591501235962,15.799177169799805,0.026307659223675728
random,median_n5,BraTS-GLI-01110-000,0.6217566132545471,16.3931827545166,0.022944658994674683
random,median_n5,BraTS-GLI-01171-000,0.9086383581161499,22.630111694335938,0.00545743852853775
random,median_n5,BraTS-GLI-01490-000,0.8093088865280151,19.64728546142578,0.010846045799553394
random,median_n5,BraTS-GLI-00432-000,0.9691187143325806,22.90325164794922,0.004442931618541479
random,median_n5,BraTS-GLI-01328-000,0.7575774192810059,18.764690399169922,0.013290180824697018
random,median_n5,BraTS-GLI-00694-001,0.6608281135559082,19.318784713745117,0.011698265559971333
random,median_n5,BraTS-GLI-01162-000,0.7578225135803223,21.344707489013672,0.007190560456365347
random,median_n5,BraTS-GLI-01236-000,0.9480644464492798,19.630977630615234,0.010886849835515022
random,median_n5,BraTS-GLI-01306-000,0.7354288697242737,15.231871604919434,0.016911771148443222
random,median_n5,BraTS-GLI-01208-000,0.6976323127746582,17.784997940063477,0.011391181498765945
random,median_n5,BraTS-GLI-00273-000,0.5500202775001526,18.05158805847168,0.015661781653761864
random,median_n5,BraTS-GLI-01018-000,0.5972641706466675,18.266014099121094,0.01490727998316288
random,median_n5,BraTS-GLI-00400-000,0.7107248902320862,21.05361557006836,0.006800957024097443
random,median_n5,BraTS-GLI-00613-000,0.5432165265083313,16.231201171875,0.023816600441932678
random,median_n5,BraTS-GLI-00241-000,0.6160714626312256,17.461008071899414,0.01794316992163658
random,median_n5,BraTS-GLI-00504-000,0.8776827454566956,18.937089920043945,0.0064456588588654995
random,median_n5,BraTS-GLI-00608-000,0.7185297608375549,19.148595809936523,0.012165792286396027
weighted,n1,BraTS-GLI-00071-000,0.8378891348838806,17.302532196044922,0.018610013648867607
weighted,n1,BraTS-GLI-01302-000,0.9361422061920166,21.79385757446289,0.006616284139454365
weighted,n1,BraTS-GLI-00186-000,0.8097520470619202,15.269804954528809,0.01803630217909813
weighted,n1,BraTS-GLI-01266-000,0.6895420551300049,19.359615325927734,0.01158879604190588
weighted,n1,BraTS-GLI-00085-000,0.7664192914962769,19.492027282714844,0.010977813974022865
weighted,n1,BraTS-GLI-00386-000,0.7653062343597412,20.394519805908203,0.00645671971142292
weighted,n1,BraTS-GLI-01122-000,0.8285536766052246,17.83481216430664,0.016463370993733406
weighted,n1,BraTS-GLI-00204-000,0.5384117960929871,15.659543991088867,0.027167240157723427
weighted,n1,BraTS-GLI-01110-000,0.6411550045013428,16.711830139160156,0.021321460604667664
