case,random_ssim,weighted_ssim,delta_ssim_weighted_minus_random,random_psnr,weighted_psnr,delta_psnr_db_weighted_minus_random,random_mse,weighted_mse,mse_reduction_random_minus_weighted,all_metric_outcome
BraTS-GLI-00269-000,0.6586719751358032,0.7074341177940369,0.04876214265823364,17.482152938842773,18.529090881347656,1.0469379425048828,0.017856024205684662,0.01403107587248087,0.0038249483332037926,weighted_wins_all
BraTS-GLI-00282-000,0.5834084749221802,0.619060754776001,0.0356522798538208,18.98192024230957,19.813371658325195,0.831451416015625,0.012641766108572483,0.010439089499413967,0.002202676609158516,weighted_wins_all
BraTS-GLI-00283-000,0.8242335319519043,0.8565989136695862,0.032365381717681885,18.703014373779297,19.08327293395996,0.38025856018066406,0.00423740828409791,0.0038821694906800985,0.0003552387934178114,weighted_wins_all
BraTS-GLI-00306-000,0.5166822075843811,0.5680534243583679,0.051371216773986816,14.726571083068848,16.419891357421875,1.6933202743530273,0.033677730709314346,0.022803984582424164,0.010873746126890182,weighted_wins_all
BraTS-GLI-00340-000,0.6202717423439026,0.6337496042251587,0.013477861881256104,19.456403732299805,20.20208168029785,0.7456779479980469,0.01133338175714016,0.009545346722006798,0.0017880350351333618,weighted_wins_all
BraTS-GLI-00377-000,0.7950477600097656,0.8521376848220825,0.057089924812316895,19.83429718017578,22.28890609741211,2.454608917236328,0.006799119524657726,0.003863085061311722,0.0029360344633460045,weighted_wins_all
BraTS-GLI-00395-000,0.6740608811378479,0.7245356440544128,0.05047476291656494,17.326749801635742,19.3154354095459,1.9886856079101562,0.018506523221731186,0.011707291007041931,0.006799232214689255,weighted_wins_all
BraTS-GLI-00402-000,0.6446043252944946,0.661697268486023,0.01709294319152832,19.185611724853516,19.471561431884766,0.28594970703125,0.012062537483870983,0.011293896473944187,0.000768641009926796,weighted_wins_all
BraTS-GLI-00407-000,0.6137551069259644,0.5956276655197144,-0.01812744140625,17.009313583374023,17.0561466217041,0.046833038330078125,0.019909873604774475,0.019696328788995743,0.0002135448157787323,mixed
BraTS-GLI-00433-000,0.582549512386322,0.649404764175415,0.06685525178909302,16.926013946533203,19.66107940673828,2.735065460205078,0.01875145547091961,0.009944276884198189,0.00880717858672142,weighted_wins_all
BraTS-GLI-00445-000,0.9807628393173218,0.9755861759185791,-0.005176663398742676,20.58888816833496,20.137924194335938,-0.45096397399902344,0.002243203576654196,0.002488657832145691,-0.00024545425549149513,random_wins_all
BraTS-GLI-00456-000,0.696002721786499,0.6950257420539856,-0.0009769797325134277,20.383071899414062,21.261211395263672,0.8781394958496094,0.009155724197626114,0.007479606196284294,0.0016761180013418198,mixed
BraTS-GLI-00493-000,0.8366723656654358,0.8891063332557678,0.05243396759033203,16.893136978149414,17.847301483154297,0.9541645050048828,0.007204325869679451,0.0055792732164263725,0.0016250526532530785,weighted_wins_all
BraTS-GLI-00494-001,0.7972372770309448,0.7757608890533447,-0.021476387977600098,17.793212890625,17.213510513305664,-0.5797023773193359,0.016621820628643036,0.01899542473256588,-0.002373604103922844,random_wins_all
BraTS-GLI-00512-000,0.8321841359138489,0.8180264234542847,-0.014157712459564209,18.801273345947266,19.41771125793457,0.6164379119873047,0.00989425741136074,0.008584982715547085,0.0013092746958136559,mixed
BraTS-GLI-00517-001,0.6423465609550476,0.6699591875076294,0.027612626552581787,18.827713012695312,18.83268165588379,0.0049686431884765625,0.013098711147904396,0.013083734549582005,1.497659832239151e-05,weighted_wins_all
BraTS-GLI-00540-000,0.5397171974182129,0.5691983103752136,0.029481112957000732,15.253891944885254,17.22679901123047,1.9729070663452148,0.02982708066701889,0.018937386572360992,0.010889694094657898,weighted_wins_all
BraTS-GLI-00559-001,0.8127871751785278,0.8277215957641602,0.014934420585632324,18.717845916748047,20.095495223999023,1.3776493072509766,0.01337862852960825,0.009742413647472858,0.0036362148821353912,weighted_wins_all
BraTS-GLI-00580-000,0.9813215732574463,0.9782153367996216,-0.003106236457824707,25.92559051513672,25.14556312561035,-0.7800273895263672,0.002555293031036854,0.00305804330855608,-0.0005027502775192261,random_wins_all
BraTS-GLI-00594-000,0.6990416049957275,0.7470870018005371,0.04804539680480957,17.760820388793945,19.93364715576172,2.1728267669677734,0.016746263951063156,0.010153954848647118,0.0065923091024160385,weighted_wins_all
BraTS-GLI-00610-000,0.6352866888046265,0.6428713202476501,0.007584631443023682,18.8763370513916,19.385669708251953,0.5093326568603516,0.012952876277267933,0.011519482359290123,0.00143339391797781,weighted_wins_all
BraTS-GLI-00642-000,0.8123461604118347,0.8782971501350403,0.06595098972320557,14.518961906433105,17.227785110473633,2.7088232040405273,0.017854802310466766,0.009538624435663223,0.008316177874803543,weighted_wins_all
BraTS-GLI-00650-000,0.7566876411437988,0.7947859168052673,0.038098275661468506,18.887205123901367,20.822790145874023,1.9355850219726562,0.012403887696564198,0.00794150959700346,0.004462378099560738,weighted_wins_all
BraTS-GLI-00655-001,0.8705608248710632,0.8717793822288513,0.001218557357788086,20.229307174682617,20.444181442260742,0.214874267578125,0.009485692717134953,0.009027795866131783,0.00045789685100317,weighted_wins_all
BraTS-GLI-00658-000,0.9766071438789368,0.9889962077140808,0.012389063835144043,17.680103302001953,20.392671585083008,2.7125682830810547,0.00563717121258378,0.003016964066773653,0.0026202071458101273,weighted_wins_all
BraTS-GLI-00675-000,0.6310982704162598,0.7061842083930969,0.07508593797683716,15.39598560333252,17.625246047973633,2.2292604446411133,0.028866982087492943,0.017277279868721962,0.01158970221877098,weighted_wins_all
